TICKER	CCAT
DATA Index	503080
DBA Index	503080
DBEA Index	503020
DBLA Comdty	101010
DBPA Comdty	101010
DBRA Comdty	101010
DBSA Index	503080
DCA Comdty	10101085
DCAA Curncy	501010
DCCA Curncy	501010
DCEA Comdty	254020
DCIA Comdty	502030
DCLA Comdty	502010
DCOA Comdty	103010
DCPA Index	503080
DCRA Curncy	501020
DCRA Index	503080
DCSA Comdty	203510
DCSA Curncy	501020
DCTA Comdty	10101080
DCWA Comdty	10101080
DCYA Comdty	502010
DCYA Curncy	501010
DDA Index	402010
DEDA Index	503020
DEEA Index	503020
DESA Index	503080
DETA Comdty	10105010
DFA Comdty	207010
DFA Index	402010
DFBAW Comdty	10105010
DFIA Comdty	10105020
DFOA Comdty	10105020
DFPA Comdty	10105010
DFPAW Comdty	10105020
DFRA Comdty	10105010
DFSA Comdty	10105010
DFWA Index	503080
DFYA Comdty	10105020
DGA Comdty	25401010
DGCA Comdty	102010
DGIA Comdty	102010
DGIA Index	503080
DGLA Comdty	102010
DGSA Comdty	102020
DGSA Index	509080
DHA Comdty	101010
DHCA Index	503020
DHSA Index	503020
DIDA Comdty	102010
DIEA Index	503020
DIPA Curncy	501010
DISA Index	503080
DJEA Index	503080
DJWA Curncy	501010
DJYA Comdty	10101080
DKAA Comdty	502010
DKBA Comdty	502010
DKRA Index	503020
DLA Comdty	30603020
DLA Index	504020
DLIA Comdty	10105010
DLTA Comdty	10105020
DMA Index	503080
DNA Comdty	502020
DNA Index	509080
DNYA Comdty	10105020
DOA Curncy	501010
DOPA Curncy	501010
DOWA Comdty	401020
DOWA Curncy	501010
DPA Curncy	501010
DPA Index	503080
DPBA Comdty	10105020
DPDA Curncy	501010
DPLA Comdty	10105030
DPRA Comdty	201020
DPTA Comdty	10105030
DPWA Comdty	401020
DPWA Curncy	501010
DQA Index	504020
DQAA Comdty	10105020
DRAA Comdty	10105030
DRAA Curncy	501010
DRCA Index	509080
DREA Comdty	401020
DRIA Comdty	401020
DRRA Curncy	501010
DRWA Comdty	25401033
DSA Curncy	501010
DSDA Index	503020
DTA Comdty	101020
DTEA Index	503020
DTIA Comdty	401020
DTRA Curncy	501010
DTRA Index	503080
DTSA Comdty	103530
DTSA Index	503080
DUA Comdty	502010
DUA Index	503080
DUBA Comdty	10105010
DUBAQ Comdty	10105010
DUBAY Comdty	10105010
DUCA Comdty	10105020
DUCAQ Comdty	10105020
DUCAY Comdty	10105020
DUDA Comdty	102010
DUDA Curncy	501010
DUEA Index	503020
DURA Comdty	201035
DUSA Comdty	10103010
DUSA Curncy	501010
DUSA Index	503080
DVA Index	503080
DVDA Index	503020
DVEA Index	503080
DVTA Index	503080
DVYA Comdty	10105020
DWA Comdty	502010
DWA Index	503080
DWBAW Comdty	10105010
DWEA Comdty	10103080
DWPAW Comdty	10105020
DWTA Comdty	101010
DXA Curncy	501080
DXA Index	504020
DXIA Curncy	501010
DXLA Curncy	501010
DXRA Index	503080
DXSA Index	503080
DXTA Curncy	501080
DXY Curncy	501080
DYSA Comdty	10103030
DZA Index	504020
DZBA Index	503080
DZWA Curncy	501010
EAA Curncy	501010
EBA Comdty	201010
EBA Index	503080
ECA Comdty	101010
ECA Curncy	501010
EDA Comdty	502020
EEA Curncy	501010
EFA Index	504020
EGA Curncy	501010
EHA Curncy	501010
EHA Index	503080
EIA Comdty	10103040
EIA Curncy	501010
EJA Curncy	501010
EJA Index	504020
EKA Comdty	10103020
